key,expected,actual,ok,source,line,col
cohort.benchmark_ids,308,308,True,body_main_short.tex:192,33,17
cohort.analysed_complexes,303,303,True,body_main_short.tex:192,34,22
determinism.benchmark,0 (sign),0,True,"body_appendix_short.tex, ""Orai1 Panels""",,
determinism.orai_control,0 (sign),0,True,"body_appendix_short.tex, ""Orai1 Panels""",,
determinism.orai_experimental,24 (sign),24,True,"body_appendix_short.tex, ""Orai1 Panels""",,
table_1[autodock_mgltools_exh128].poses,8976,8976,True,"body_main_short.tex:261, tab:results-pose-production",78,37
table_1[autodock_mgltools_exh128].valid_complexes,303,303,True,"body_main_short.tex:261, tab:results-pose-production",78,43
table_1[autodock_mgltools_exh128].valid_poses,8943,8943,True,"body_main_short.tex:261, tab:results-pose-production",78,48
table_1[autodock_mgltools_exh128].valid_pct,99.6,99.6,True,"body_main_short.tex:261, tab:results-pose-production",78,54
table_1[autodock_mgltools_exh128].near_complexes,202,217,False,"body_main_short.tex:261, tab:results-pose-production",78,60
table_1[autodock_mgltools_exh128].near_poses,307,437,False,"body_main_short.tex:261, tab:results-pose-production",78,66
table_1[autodock_mgltools_exh128].near_pct,3.4,4.9,False,"body_main_short.tex:261, tab:results-pose-production",78,72
table_1[autodock_mgltools_exh128].form_complexes,225,225,True,"body_main_short.tex:261, tab:results-pose-production",78,77
table_1[autodock_mgltools_exh128].form_poses,2848,2829,False,"body_main_short.tex:261, tab:results-pose-production",78,82
table_1[autodock_mgltools_exh128].form_pct,31.7,31.5,False,"body_main_short.tex:261, tab:results-pose-production",78,88
table_1[autodock_mgltools_exh128].triple_complexes,164,178,False,"body_main_short.tex:261, tab:results-pose-production",78,94
table_1[autodock_mgltools_exh128].triple_poses,221,324,False,"body_main_short.tex:261, tab:results-pose-production",78,100
table_1[autodock_mgltools_exh128].triple_pct,2.5,3.6,False,"body_main_short.tex:261, tab:results-pose-production",78,106
table_1[autodock_mgltools_exh128_gnina].poses,8976,8976,True,"body_main_short.tex:261, tab:results-pose-production",79,37
table_1[autodock_mgltools_exh128_gnina].valid_complexes,301,301,True,"body_main_short.tex:261, tab:results-pose-production",79,43
table_1[autodock_mgltools_exh128_gnina].valid_poses,8880,8880,True,"body_main_short.tex:261, tab:results-pose-production",79,48
table_1[autodock_mgltools_exh128_gnina].valid_pct,98.9,98.9,True,"body_main_short.tex:261, tab:results-pose-production",79,54
table_1[autodock_mgltools_exh128_gnina].near_complexes,202,217,False,"body_main_short.tex:261, tab:results-pose-production",79,60
table_1[autodock_mgltools_exh128_gnina].near_poses,319,451,False,"body_main_short.tex:261, tab:results-pose-production",79,66
table_1[autodock_mgltools_exh128_gnina].near_pct,3.6,5.0,False,"body_main_short.tex:261, tab:results-pose-production",79,72
table_1[autodock_mgltools_exh128_gnina].form_complexes,227,227,True,"body_main_short.tex:261, tab:results-pose-production",79,77
table_1[autodock_mgltools_exh128_gnina].form_poses,2836,2823,False,"body_main_short.tex:261, tab:results-pose-production",79,82
table_1[autodock_mgltools_exh128_gnina].form_pct,31.6,31.5,False,"body_main_short.tex:261, tab:results-pose-production",79,88
table_1[autodock_mgltools_exh128_gnina].triple_complexes,160,175,False,"body_main_short.tex:261, tab:results-pose-production",79,94
table_1[autodock_mgltools_exh128_gnina].triple_poses,221,325,False,"body_main_short.tex:261, tab:results-pose-production",79,100
table_1[autodock_mgltools_exh128_gnina].triple_pct,2.5,3.6,False,"body_main_short.tex:261, tab:results-pose-production",79,106
table_1[diffdock].poses,9013,9013,True,"body_main_short.tex:261, tab:results-pose-production",80,37
table_1[diffdock].valid_complexes,242,242,True,"body_main_short.tex:261, tab:results-pose-production",80,43
table_1[diffdock].valid_poses,2198,2198,True,"body_main_short.tex:261, tab:results-pose-production",80,48
table_1[diffdock].valid_pct,24.4,24.4,True,"body_main_short.tex:261, tab:results-pose-production",80,54
table_1[diffdock].near_complexes,152,161,False,"body_main_short.tex:261, tab:results-pose-production",80,60
table_1[diffdock].near_poses,1683,2118,False,"body_main_short.tex:261, tab:results-pose-production",80,65
table_1[diffdock].near_pct,18.7,23.5,False,"body_main_short.tex:261, tab:results-pose-production",80,71
table_1[diffdock].form_complexes,225,224,False,"body_main_short.tex:261, tab:results-pose-production",80,77
table_1[diffdock].form_poses,4012,4016,False,"body_main_short.tex:261, tab:results-pose-production",80,82
table_1[diffdock].form_pct,44.5,44.6,False,"body_main_short.tex:261, tab:results-pose-production",80,88
table_1[diffdock].triple_complexes,83,92,False,"body_main_short.tex:261, tab:results-pose-production",80,95
table_1[diffdock].triple_poses,722,869,False,"body_main_short.tex:261, tab:results-pose-production",80,100
table_1[diffdock].triple_pct,8.0,9.6,False,"body_main_short.tex:261, tab:results-pose-production",80,106
table_1[diffdock_smina].poses,8993,8993,True,"body_main_short.tex:261, tab:results-pose-production",81,37
table_1[diffdock_smina].valid_complexes,300,300,True,"body_main_short.tex:261, tab:results-pose-production",81,43
table_1[diffdock_smina].valid_poses,7597,7597,True,"body_main_short.tex:261, tab:results-pose-production",81,48
table_1[diffdock_smina].valid_pct,84.5,84.5,True,"body_main_short.tex:261, tab:results-pose-production",81,54
table_1[diffdock_smina].near_complexes,173,186,False,"body_main_short.tex:261, tab:results-pose-production",81,60
table_1[diffdock_smina].near_poses,1715,2169,False,"body_main_short.tex:261, tab:results-pose-production",81,65
table_1[diffdock_smina].near_pct,19.1,24.1,False,"body_main_short.tex:261, tab:results-pose-production",81,71
table_1[diffdock_smina].form_complexes,237,236,False,"body_main_short.tex:261, tab:results-pose-production",81,77
table_1[diffdock_smina].form_poses,3903,3887,False,"body_main_short.tex:261, tab:results-pose-production",81,82
table_1[diffdock_smina].form_pct,43.4,43.2,False,"body_main_short.tex:261, tab:results-pose-production",81,88
table_1[diffdock_smina].triple_complexes,138,148,False,"body_main_short.tex:261, tab:results-pose-production",81,94
table_1[diffdock_smina].triple_poses,1227,1516,False,"body_main_short.tex:261, tab:results-pose-production",81,99
table_1[diffdock_smina].triple_pct,13.6,16.9,False,"body_main_short.tex:261, tab:results-pose-production",81,105
table_1[diffdock_gnina].poses,8993,8993,True,"body_main_short.tex:261, tab:results-pose-production",82,37
table_1[diffdock_gnina].valid_complexes,300,300,True,"body_main_short.tex:261, tab:results-pose-production",82,43
table_1[diffdock_gnina].valid_poses,7831,7831,True,"body_main_short.tex:261, tab:results-pose-production",82,48
table_1[diffdock_gnina].valid_pct,87.1,87.1,True,"body_main_short.tex:261, tab:results-pose-production",82,54
table_1[diffdock_gnina].near_complexes,176,186,False,"body_main_short.tex:261, tab:results-pose-production",82,60
table_1[diffdock_gnina].near_poses,1716,2171,False,"body_main_short.tex:261, tab:results-pose-production",82,65
table_1[diffdock_gnina].near_pct,19.1,24.1,False,"body_main_short.tex:261, tab:results-pose-production",82,71
table_1[diffdock_gnina].form_complexes,235,235,True,"body_main_short.tex:261, tab:results-pose-production",82,77
table_1[diffdock_gnina].form_poses,3873,3854,False,"body_main_short.tex:261, tab:results-pose-production",82,82
table_1[diffdock_gnina].form_pct,43.1,42.9,False,"body_main_short.tex:261, tab:results-pose-production",82,88
table_1[diffdock_gnina].triple_complexes,138,149,False,"body_main_short.tex:261, tab:results-pose-production",82,94
table_1[diffdock_gnina].triple_poses,1219,1513,False,"body_main_short.tex:261, tab:results-pose-production",82,99
table_1[diffdock_gnina].triple_pct,13.6,16.8,False,"body_main_short.tex:261, tab:results-pose-production",82,105
table_1[equibind_unguided_raw].poses,9090,9090,True,"body_main_short.tex:261, tab:results-pose-production",83,37
table_1[equibind_unguided_raw].valid_complexes,35,35,True,"body_main_short.tex:261, tab:results-pose-production",83,44
table_1[equibind_unguided_raw].valid_poses,263,263,True,"body_main_short.tex:261, tab:results-pose-production",83,49
table_1[equibind_unguided_raw].valid_pct,2.9,2.9,True,"body_main_short.tex:261, tab:results-pose-production",83,55
table_1[equibind_unguided_raw].near_complexes,19,19,True,"body_main_short.tex:261, tab:results-pose-production",83,61
table_1[equibind_unguided_raw].near_poses,103,103,True,"body_main_short.tex:261, tab:results-pose-production",83,66
table_1[equibind_unguided_raw].near_pct,1.1,1.1,True,"body_main_short.tex:261, tab:results-pose-production",83,72
table_1[equibind_unguided_raw].form_complexes,185,186,False,"body_main_short.tex:261, tab:results-pose-production",83,77
table_1[equibind_unguided_raw].form_poses,2479,2487,False,"body_main_short.tex:261, tab:results-pose-production",83,82
table_1[equibind_unguided_raw].form_pct,27.3,27.4,False,"body_main_short.tex:261, tab:results-pose-production",83,88
table_1[equibind_unguided_raw].triple_complexes,2,2,True,"body_main_short.tex:261, tab:results-pose-production",83,96
table_1[equibind_unguided_raw].triple_poses,21,21,True,"body_main_short.tex:261, tab:results-pose-production",83,101
table_1[equibind_unguided_raw].triple_pct,0.2,0.2,True,"body_main_short.tex:261, tab:results-pose-production",83,106
table_1[equibind_unguided_smina].poses,9090,9090,True,"body_main_short.tex:261, tab:results-pose-production",84,37
table_1[equibind_unguided_smina].valid_complexes,236,236,True,"body_main_short.tex:261, tab:results-pose-production",84,43
table_1[equibind_unguided_smina].valid_poses,4664,4664,True,"body_main_short.tex:261, tab:results-pose-production",84,48
table_1[equibind_unguided_smina].valid_pct,51.3,51.3,True,"body_main_short.tex:261, tab:results-pose-production",84,54
table_1[equibind_unguided_smina].near_complexes,64,67,False,"body_main_short.tex:261, tab:results-pose-production",84,61
table_1[equibind_unguided_smina].near_poses,453,465,False,"body_main_short.tex:261, tab:results-pose-production",84,66
table_1[equibind_unguided_smina].near_pct,5.0,5.1,False,"body_main_short.tex:261, tab:results-pose-production",84,72
table_1[equibind_unguided_smina].form_complexes,191,192,False,"body_main_short.tex:261, tab:results-pose-production",84,77
table_1[equibind_unguided_smina].form_poses,2610,2617,False,"body_main_short.tex:261, tab:results-pose-production",84,82
table_1[equibind_unguided_smina].form_pct,28.7,28.8,False,"body_main_short.tex:261, tab:results-pose-production",84,88
table_1[equibind_unguided_smina].triple_complexes,48,50,False,"body_main_short.tex:261, tab:results-pose-production",84,95
table_1[equibind_unguided_smina].triple_poses,249,253,False,"body_main_short.tex:261, tab:results-pose-production",84,100
table_1[equibind_unguided_smina].triple_pct,2.7,2.8,False,"body_main_short.tex:261, tab:results-pose-production",84,106
table_1[equibind_unguided_gnina].poses,9088,9088,True,"body_main_short.tex:261, tab:results-pose-production",85,37
table_1[equibind_unguided_gnina].valid_complexes,266,266,True,"body_main_short.tex:261, tab:results-pose-production",85,43
table_1[equibind_unguided_gnina].valid_poses,5633,5633,True,"body_main_short.tex:261, tab:results-pose-production",85,48
table_1[equibind_unguided_gnina].valid_pct,62.0,62.0,True,"body_main_short.tex:261, tab:results-pose-production",85,54
table_1[equibind_unguided_gnina].near_complexes,83,86,False,"body_main_short.tex:261, tab:results-pose-production",85,61
table_1[equibind_unguided_gnina].near_poses,498,515,False,"body_main_short.tex:261, tab:results-pose-production",85,66
table_1[equibind_unguided_gnina].near_pct,5.5,5.7,False,"body_main_short.tex:261, tab:results-pose-production",85,72
table_1[equibind_unguided_gnina].form_complexes,200,199,False,"body_main_short.tex:261, tab:results-pose-production",85,77
table_1[equibind_unguided_gnina].form_poses,2661,2661,True,"body_main_short.tex:261, tab:results-pose-production",85,82
table_1[equibind_unguided_gnina].form_pct,29.3,29.3,True,"body_main_short.tex:261, tab:results-pose-production",85,88
table_1[equibind_unguided_gnina].triple_complexes,55,57,False,"body_main_short.tex:261, tab:results-pose-production",85,95
table_1[equibind_unguided_gnina].triple_poses,282,289,False,"body_main_short.tex:261, tab:results-pose-production",85,100
table_1[equibind_unguided_gnina].triple_pct,3.1,3.2,False,"body_main_short.tex:261, tab:results-pose-production",85,106
table_1[equibind_fpocket_raw].poses,9090,9090,True,"body_main_short.tex:261, tab:results-pose-production",86,37
table_1[equibind_fpocket_raw].valid_complexes,13,13,True,"body_main_short.tex:261, tab:results-pose-production",86,44
table_1[equibind_fpocket_raw].valid_poses,27,27,True,"body_main_short.tex:261, tab:results-pose-production",86,50
table_1[equibind_fpocket_raw].valid_pct,0.3,0.3,True,"body_main_short.tex:261, tab:results-pose-production",86,55
table_1[equibind_fpocket_raw].near_complexes,0,0,True,"body_main_short.tex:261, tab:results-pose-production",86,62
table_1[equibind_fpocket_raw].near_poses,0,0,True,"body_main_short.tex:261, tab:results-pose-production",86,68
table_1[equibind_fpocket_raw].near_pct,0.0,0.0,True,"body_main_short.tex:261, tab:results-pose-production",86,72
table_1[equibind_fpocket_raw].form_complexes,180,179,False,"body_main_short.tex:261, tab:results-pose-production",86,77
table_1[equibind_fpocket_raw].form_poses,2449,2441,False,"body_main_short.tex:261, tab:results-pose-production",86,82
table_1[equibind_fpocket_raw].form_pct,26.9,26.9,True,"body_main_short.tex:261, tab:results-pose-production",86,88
table_1[equibind_fpocket_raw].triple_complexes,0,0,True,"body_main_short.tex:261, tab:results-pose-production",86,96
table_1[equibind_fpocket_raw].triple_poses,0,0,True,"body_main_short.tex:261, tab:results-pose-production",86,102
table_1[equibind_fpocket_raw].triple_pct,0.0,0.0,True,"body_main_short.tex:261, tab:results-pose-production",86,106
table_1[equibind_p2rank_raw].poses,8520,8520,True,"body_main_short.tex:261, tab:results-pose-production",87,37
table_1[equibind_p2rank_raw].valid_complexes,12,12,True,"body_main_short.tex:261, tab:results-pose-production",87,44
table_1[equibind_p2rank_raw].valid_poses,47,47,True,"body_main_short.tex:261, tab:results-pose-production",87,50
table_1[equibind_p2rank_raw].valid_pct,0.6,0.6,True,"body_main_short.tex:261, tab:results-pose-production",87,55
table_1[equibind_p2rank_raw].near_complexes,0,1,False,"body_main_short.tex:261, tab:results-pose-production",87,62
table_1[equibind_p2rank_raw].near_poses,0,2,False,"body_main_short.tex:261, tab:results-pose-production",87,68
table_1[equibind_p2rank_raw].near_pct,0.0,0.0,True,"body_main_short.tex:261, tab:results-pose-production",87,72
table_1[equibind_p2rank_raw].form_complexes,181,180,False,"body_main_short.tex:261, tab:results-pose-production",87,77
table_1[equibind_p2rank_raw].form_poses,2336,2339,False,"body_main_short.tex:261, tab:results-pose-production",87,82
table_1[equibind_p2rank_raw].form_pct,27.4,27.5,False,"body_main_short.tex:261, tab:results-pose-production",87,88
table_1[equibind_p2rank_raw].triple_complexes,0,0,True,"body_main_short.tex:261, tab:results-pose-production",87,96
table_1[equibind_p2rank_raw].triple_poses,0,0,True,"body_main_short.tex:261, tab:results-pose-production",87,102
table_1[equibind_p2rank_raw].triple_pct,0.0,0.0,True,"body_main_short.tex:261, tab:results-pose-production",87,106
table_2[AutoDock].rank1,111,149,False,"body_main_short.tex:336, tab:results-depth-recovery",104,15
table_2[AutoDock].top15,198,213,False,"body_main_short.tex:336, tab:results-depth-recovery",104,20
table_2[AutoDock].top30,199,214,False,"body_main_short.tex:336, tab:results-depth-recovery",104,25
table_2[DiffDock].rank1,103,132,False,"body_main_short.tex:336, tab:results-depth-recovery",105,15
table_2[DiffDock].top15,167,179,False,"body_main_short.tex:336, tab:results-depth-recovery",105,20
table_2[DiffDock].top30,169,183,False,"body_main_short.tex:336, tab:results-depth-recovery",105,25
table_2[EquiBind].rank1,55,57,False,"body_main_short.tex:336, tab:results-depth-recovery",106,15
table_2[EquiBind].top15,80,83,False,"body_main_short.tex:336, tab:results-depth-recovery",106,19
table_2[EquiBind].top30,80,83,False,"body_main_short.tex:336, tab:results-depth-recovery",106,23
table_3[AutoDock reach].top1,"[59, 53, 64]","[78, 73, 82]",False,"body_main_short.tex, tab:results-cluster-recovery",,
table_3[AutoDock reach].top5,"[79, 74, 83]","[86, 81, 89]",False,"body_main_short.tex, tab:results-cluster-recovery",,
table_3[AutoDock reach].top10,"[81, 76, 85]","[88, 84, 91]",False,"body_main_short.tex, tab:results-cluster-recovery",,
table_3[AutoDock reach].top15,"[83, 79, 87]","[90, 86, 93]",False,"body_main_short.tex, tab:results-cluster-recovery",,
table_3[DiffDock reach].top1,"[54, 49, 60]","[73, 68, 78]",False,"body_main_short.tex, tab:results-cluster-recovery",,
table_3[DiffDock reach].top5,"[76, 70, 80]","[83, 78, 86]",False,"body_main_short.tex, tab:results-cluster-recovery",,
table_3[DiffDock reach].top10,"[79, 74, 83]","[85, 80, 88]",False,"body_main_short.tex, tab:results-cluster-recovery",,
table_3[DiffDock reach].top15,"[81, 76, 85]","[86, 82, 90]",False,"body_main_short.tex, tab:results-cluster-recovery",,
table_3[EquiBind reach].top1,"[43, 37, 49]","[46, 40, 51]",False,"body_main_short.tex, tab:results-cluster-recovery",,
table_3[EquiBind reach].top5,"[46, 40, 51]","[49, 43, 54]",False,"body_main_short.tex, tab:results-cluster-recovery",,
table_3[EquiBind reach].top10,"[47, 41, 52]","[50, 45, 56]",False,"body_main_short.tex, tab:results-cluster-recovery",,
table_3[EquiBind reach].top15,"[47, 42, 53]","[51, 46, 57]",False,"body_main_short.tex, tab:results-cluster-recovery",,
table_3[AutoDock+DiffDock phi].top1,0.33,0.24,False,"body_main_short.tex, tab:results-cluster-recovery",129,24
table_3[AutoDock+DiffDock phi].top5,0.23,0.21,False,"body_main_short.tex, tab:results-cluster-recovery",129,31
table_3[AutoDock+DiffDock phi].top10,0.24,0.21,False,"body_main_short.tex, tab:results-cluster-recovery",129,38
table_3[AutoDock+DiffDock phi].top15,0.23,0.21,False,"body_main_short.tex, tab:results-cluster-recovery",129,45
table_3[AutoDock+EquiBind phi].top1,0.45,0.19,False,"body_main_short.tex, tab:results-cluster-recovery",130,24
table_3[AutoDock+EquiBind phi].top5,0.27,0.15,False,"body_main_short.tex, tab:results-cluster-recovery",130,31
table_3[AutoDock+EquiBind phi].top10,0.29,0.15,False,"body_main_short.tex, tab:results-cluster-recovery",130,38
table_3[AutoDock+EquiBind phi].top15,0.28,0.13,False,"body_main_short.tex, tab:results-cluster-recovery",130,45
table_3[DiffDock+EquiBind phi].top1,0.42,0.21,False,"body_main_short.tex, tab:results-cluster-recovery",131,24
table_3[DiffDock+EquiBind phi].top5,0.3,0.22,False,"body_main_short.tex, tab:results-cluster-recovery",131,31
table_3[DiffDock+EquiBind phi].top10,0.29,0.22,False,"body_main_short.tex, tab:results-cluster-recovery",131,38
table_3[DiffDock+EquiBind phi].top15,0.26,0.22,False,"body_main_short.tex, tab:results-cluster-recovery",131,45
table_3[all three].top1,89/42,103/79,False,"body_main_short.tex, tab:results-cluster-recovery",,
